Order,State,"18 or OlderEstimate","18 or Older95% CI (Lower)","18 or Older95% CI (Upper)","18-25Estimate","18-2595% CI (Lower)","18-2595% CI (Upper)","26 or OlderEstimate","26 or Older95% CI (Lower)","26 or Older95% CI (Upper)"
34,Nevada,16.05%,13.91%,18.44%,18.31%,15.74%,21.19%,15.68%,13.31%,18.38%
35,New Hampshire,18.53%,16.35%,20.93%,19.78%,17.39%,22.42%,18.34%,15.90%,21.05%
36,New Jersey,14.66%,12.54%,17.05%,17.05%,14.68%,19.72%,14.29%,11.96%,17.00%
37,New Mexico,19.59%,17.17%,22.25%,20.27%,17.70%,23.10%,19.47%,16.75%,22.51%
38,New York,18.61%,17.26%,20.04%,18.93%,17.46%,20.50%,18.55%,17.01%,20.20%
39,North Carolina,16.84%,14.63%,19.33%,16.28%,13.92%,18.96%,16.94%,14.48%,19.72%
40,North Dakota,17.21%,15.21%,19.41%,20.74%,18.17%,23.56%,16.47%,14.19%,19.03%
41,Ohio,19.64%,18.34%,21.02%,20.54%,19.00%,22.18%,19.50%,18.02%,21.06%
42,Oklahoma,21.88%,19.46%,24.50%,20.04%,17.48%,22.86%,22.21%,19.48%,25.20%
43,Oregon,20.89%,18.48%,23.53%,22.48%,19.84%,25.37%,20.64%,17.96%,23.61%
44,Pennsylvania,17.99%,16.72%,19.34%,19.84%,18.23%,21.55%,17.68%,16.23%,19.23%
45,Rhode Island,18.80%,16.61%,21.22%,18.80%,16.39%,21.48%,18.81%,16.29%,21.61%
46,South Carolina,19.56%,17.21%,22.15%,18.08%,15.76%,20.65%,19.81%,17.16%,22.76%
47,South Dakota,17.77%,15.61%,20.15%,19.79%,17.20%,22.67%,17.42%,14.99%,20.14%
48,Tennessee,20.25%,17.94%,22.78%,18.55%,16.06%,21.33%,20.53%,17.92%,23.42%
49,Texas,16.86%,15.64%,18.16%,16.62%,15.23%,18.11%,16.91%,15.50%,18.42%
50,Utah,22.35%,20.02%,24.86%,24.67%,21.60%,28.02%,21.82%,19.17%,24.72%
51,Vermont,19.39%,17.17%,21.82%,20.47%,17.97%,23.22%,19.20%,16.72%,21.97%
52,Virginia,17.50%,15.35%,19.87%,19.18%,16.71%,21.91%,17.21%,14.81%,19.91%
53,Washington,20.77%,18.41%,23.34%,21.30%,18.78%,24.06%,20.68%,18.02%,23.62%
54,West Virginia,21.38%,19.04%,23.93%,18.46%,16.20%,20.96%,21.82%,19.19%,24.69%
55,Wisconsin,17.98%,15.78%,20.41%,20.44%,17.95%,23.17%,17.57%,15.12%,20.33%
56,Wyoming,19.60%,17.61%,21.76%,21.23%,18.62%,24.09%,19.32%,17.10%,21.76%
