"Table 24. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,
"NOTE: Any mental illness is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, as assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders - Fourth Edition - Research Version - Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
31,Missouri,18.95%,16.82%,21.28%,20.97%,18.12%,24.14%,18.61%,16.26%,21.22%
32,Montana,19.76%,17.57%,22.15%,22.06%,19.41%,24.97%,19.38%,16.94%,22.08%
33,Nebraska,18.20%,16.04%,20.57%,19.52%,16.81%,22.54%,17.96%,15.57%,20.63%
34,Nevada,18.52%,16.42%,20.81%,20.30%,17.55%,23.37%,18.24%,15.91%,20.81%
35,New Hampshire,20.86%,18.61%,23.30%,26.49%,23.26%,29.98%,19.98%,17.50%,22.71%
36,New Jersey,16.27%,14.37%,18.37%,20.53%,17.98%,23.35%,15.62%,13.52%,17.98%
37,New Mexico,20.01%,17.75%,22.49%,20.45%,17.52%,23.72%,19.94%,17.42%,22.72%
38,New York,17.63%,16.34%,19.00%,20.79%,18.95%,22.76%,17.08%,15.64%,18.63%
39,North Carolina,19.33%,17.24%,21.60%,18.76%,16.29%,21.52%,19.42%,17.08%,21.99%
40,North Dakota,16.12%,14.28%,18.14%,19.59%,16.99%,22.48%,15.35%,13.28%,17.68%
41,Ohio,20.26%,18.83%,21.77%,20.83%,18.95%,22.85%,20.17%,18.56%,21.88%
42,Oklahoma,19.05%,16.89%,21.41%,18.81%,16.28%,21.64%,19.09%,16.65%,21.80%
43,Oregon,22.66%,20.20%,25.33%,24.71%,21.55%,28.17%,22.34%,19.62%,25.32%
44,Pennsylvania,17.52%,16.22%,18.91%,20.61%,18.73%,22.64%,17.02%,15.55%,18.60%
45,Rhode Island,21.60%,19.12%,24.30%,21.09%,18.03%,24.52%,21.70%,18.91%,24.77%
46,South Carolina,17.59%,15.51%,19.88%,16.92%,14.40%,19.79%,17.70%,15.39%,20.28%
47,South Dakota,16.78%,14.77%,18.99%,18.39%,15.78%,21.32%,16.49%,14.28%,18.97%
48,Tennessee,20.41%,18.14%,22.88%,19.85%,17.14%,22.86%,20.50%,17.97%,23.29%
49,Texas,16.88%,15.72%,18.11%,17.18%,15.60%,18.89%,16.82%,15.49%,18.24%
50,Utah,20.87%,18.61%,23.33%,25.92%,22.51%,29.64%,19.72%,17.20%,22.52%
51,Vermont,20.46%,18.15%,22.97%,21.37%,18.61%,24.43%,20.30%,17.73%,23.13%
52,Virginia,18.08%,16.12%,20.23%,19.40%,16.86%,22.23%,17.86%,15.66%,20.30%
53,Washington,19.76%,17.65%,22.06%,22.74%,19.84%,25.92%,19.28%,16.95%,21.84%
54,West Virginia,21.15%,18.91%,23.58%,20.67%,17.80%,23.88%,21.22%,18.75%,23.92%
55,Wisconsin,18.44%,16.27%,20.83%,20.05%,17.31%,23.11%,18.17%,15.75%,20.87%
56,Wyoming,19.14%,17.16%,21.29%,21.23%,18.37%,24.41%,18.78%,16.56%,21.23%
