"Table 23. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2008 and 2009 NSDUHs  ",,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
18,Idaho,4.75%,3.78%,5.94%,3.74%,2.88%,4.84%,4.93%,3.84%,6.30%
19,Illinois,3.62%,3.08%,4.26%,3.51%,2.96%,4.17%,3.64%,3.02%,4.38%
20,Indiana,4.71%,3.68%,6.01%,4.02%,3.09%,5.21%,4.82%,3.68%,6.31%
21,Iowa,3.83%,3.03%,4.82%,3.76%,2.92%,4.84%,3.84%,2.96%,4.97%
22,Kansas,3.51%,2.71%,4.53%,3.78%,2.88%,4.93%,3.46%,2.57%,4.63%
23,Kentucky,4.18%,3.25%,5.37%,3.42%,2.65%,4.42%,4.30%,3.26%,5.65%
24,Louisiana,3.59%,2.84%,4.53%,3.49%,2.69%,4.51%,3.61%,2.76%,4.70%
25,Maine,4.00%,3.10%,5.14%,4.33%,3.35%,5.57%,3.95%,2.98%,5.23%
26,Maryland,3.28%,2.52%,4.24%,3.46%,2.63%,4.54%,3.25%,2.41%,4.35%
27,Massachusetts,3.73%,2.89%,4.80%,3.21%,2.42%,4.24%,3.82%,2.88%,5.05%
28,Michigan,3.98%,3.41%,4.65%,4.12%,3.49%,4.85%,3.96%,3.32%,4.72%
29,Minnesota,4.37%,3.43%,5.54%,3.84%,2.97%,4.95%,4.46%,3.41%,5.81%
30,Mississippi,3.43%,2.63%,4.46%,2.99%,2.24%,3.97%,3.51%,2.62%,4.69%
31,Missouri,4.09%,3.21%,5.22%,3.58%,2.78%,4.59%,4.18%,3.19%,5.46%
32,Montana,3.95%,3.07%,5.07%,3.98%,3.10%,5.10%,3.95%,2.97%,5.23%
33,Nebraska,3.57%,2.81%,4.54%,3.59%,2.77%,4.65%,3.57%,2.72%,4.68%
34,Nevada,4.37%,3.34%,5.69%,3.81%,2.90%,5.01%,4.45%,3.32%,5.94%
35,New Hampshire,3.75%,2.94%,4.78%,3.98%,3.07%,5.15%,3.72%,2.82%,4.88%
36,New Jersey,3.35%,2.58%,4.35%,3.77%,2.91%,4.87%,3.29%,2.45%,4.40%
37,New Mexico,3.45%,2.65%,4.47%,3.61%,2.76%,4.72%,3.42%,2.54%,4.59%
38,New York,3.84%,3.27%,4.51%,3.80%,3.19%,4.51%,3.85%,3.21%,4.62%
39,North Carolina,3.63%,2.79%,4.72%,3.02%,2.28%,3.99%,3.73%,2.79%,4.98%
40,North Dakota,3.25%,2.55%,4.14%,3.36%,2.57%,4.38%,3.23%,2.44%,4.27%
41,Ohio,4.10%,3.49%,4.82%,3.69%,3.12%,4.37%,4.17%,3.48%,4.99%
42,Oklahoma,3.97%,3.06%,5.12%,4.07%,3.08%,5.37%,3.95%,2.94%,5.27%
43,Oregon,4.23%,3.28%,5.44%,3.82%,2.95%,4.92%,4.30%,3.25%,5.66%
44,Pennsylvania,3.31%,2.78%,3.95%,3.43%,2.84%,4.14%,3.29%,2.70%,4.02%
45,Rhode Island,5.38%,4.10%,7.02%,4.29%,3.18%,5.76%,5.58%,4.14%,7.48%
46,South Carolina,3.57%,2.75%,4.63%,3.26%,2.48%,4.27%,3.62%,2.72%,4.82%
47,South Dakota,3.19%,2.47%,4.11%,3.44%,2.62%,4.49%,3.14%,2.35%,4.19%
48,Tennessee,3.80%,2.94%,4.91%,3.25%,2.49%,4.23%,3.89%,2.93%,5.14%
49,Texas,3.33%,2.80%,3.95%,3.08%,2.57%,3.70%,3.37%,2.77%,4.10%
50,Utah,4.64%,3.72%,5.78%,3.78%,2.91%,4.88%,4.86%,3.78%,6.23%
51,Vermont,3.78%,2.90%,4.91%,3.97%,3.10%,5.06%,3.75%,2.77%,5.05%
52,Virginia,3.34%,2.57%,4.32%,3.55%,2.72%,4.62%,3.30%,2.46%,4.41%
53,Washington,3.78%,2.96%,4.81%,3.55%,2.73%,4.62%,3.82%,2.92%,4.98%
54,West Virginia,4.87%,3.78%,6.25%,3.66%,2.81%,4.76%,5.04%,3.84%,6.60%
55,Wisconsin,4.12%,3.24%,5.22%,4.16%,3.25%,5.32%,4.11%,3.13%,5.38%
56,Wyoming,4.20%,3.27%,5.38%,3.49%,2.70%,4.51%,4.32%,3.28%,5.68%
