Michigan,4.28%,4.24%,4.29%,4.69%,5.35%,4.58%,4.53%,4.90%,4.47%,4.45%,5.11%,4.34%,3.98%,4.12%,3.96%
Midwest,4.27%,3.99%,4.32%,4.27%,4.60%,4.21%,4.15%,4.29%,4.13%,4.45%,4.93%,4.37%,4.00%,3.79%,4.04%
Minnesota,3.87%,4.14%,3.83%,4.18%,4.32%,4.16%,3.86%,4.39%,3.77%,4.50%,4.96%,4.43%,4.37%,3.84%,4.46%
Mississippi,4.86%,3.64%,5.08%,4.72%,3.93%,4.86%,4.69%,3.83%,4.85%,4.97%,4.16%,5.11%,3.43%,2.99%,3.51%
Missouri,4.73%,3.66%,4.91%,4.67%,4.73%,4.66%,4.51%,4.31%,4.55%,5.05%,5.23%,5.02%,4.09%,3.58%,4.18%
Montana,5.08%,4.56%,5.16%,4.65%,5.09%,4.58%,4.43%,4.37%,4.43%,4.65%,4.95%,4.61%,3.95%,3.98%,3.95%
National,3.95%,3.86%,3.96%,,,,,,,,,,,,
Nebraska,4.49%,4.01%,4.58%,4.24%,4.54%,4.18%,4.40%,4.46%,4.39%,4.38%,5.11%,4.25%,3.57%,3.59%,3.57%
Nevada,3.98%,3.74%,4.02%,4.10%,4.37%,4.05%,3.95%,4.07%,3.92%,4.30%,4.86%,4.21%,4.37%,3.81%,4.45%
New Hampshire,4.40%,4.16%,4.43%,3.94%,4.89%,3.79%,4.05%,4.18%,4.03%,4.73%,6.43%,4.47%,3.75%,3.98%,3.72%
New Jersey,3.07%,3.80%,2.96%,3.28%,4.07%,3.16%,3.05%,3.63%,2.97%,3.56%,4.84%,3.37%,3.35%,3.77%,3.29%
New Mexico,4.51%,3.79%,4.63%,4.31%,4.37%,4.30%,4.72%,4.07%,4.84%,4.34%,4.45%,4.32%,3.45%,3.61%,3.42%
New York,3.52%,3.67%,3.49%,3.75%,3.94%,3.71%,3.60%,3.77%,3.57%,3.76%,4.33%,3.66%,3.84%,3.80%,3.85%
North Carolina,3.51%,3.37%,3.54%,4.74%,4.15%,4.84%,3.92%,3.84%,3.94%,4.89%,4.51%,4.95%,3.63%,3.02%,3.73%
North Dakota,3.93%,3.90%,3.94%,4.16%,4.69%,4.05%,4.04%,4.40%,3.96%,4.02%,4.91%,3.82%,3.25%,3.36%,3.23%
Northeast,3.68%,3.87%,3.65%,3.86%,4.17%,3.80%,3.67%,3.90%,3.62%,3.93%,4.67%,3.80%,3.64%,3.65%,3.64%
Ohio,4.86%,4.47%,4.92%,4.61%,4.57%,4.62%,4.65%,4.48%,4.68%,4.95%,5.43%,4.87%,4.10%,3.69%,4.17%
Oklahoma,5.06%,3.91%,5.26%,4.98%,4.10%,5.14%,5.24%,4.26%,5.42%,4.35%,4.36%,4.35%,3.97%,4.07%,3.95%
Oregon,4.89%,4.29%,4.99%,4.83%,4.94%,4.81%,4.60%,4.89%,4.55%,4.74%,5.31%,4.65%,4.23%,3.82%,4.30%
Pennsylvania,4.06%,4.20%,4.04%,4.05%,4.30%,4.01%,4.06%,4.18%,4.04%,4.00%,4.84%,3.86%,3.31%,3.43%,3.29%
Rhode Island,3.90%,4.00%,3.89%,4.90%,4.47%,4.99%,4.25%,4.27%,4.25%,4.77%,4.79%,4.76%,5.38%,4.29%,5.58%
South,3.86%,3.71%,3.89%,4.20%,3.86%,4.26%,3.96%,3.74%,4.00%,4.17%,4.18%,4.17%,3.59%,3.28%,3.64%
South Carolina,4.25%,3.55%,4.37%,4.38%,4.23%,4.41%,4.50%,4.04%,4.58%,4.31%,4.29%,4.31%,3.57%,3.26%,3.62%
South Dakota,4.17%,3.94%,4.20%,3.57%,3.91%,3.51%,3.85%,4.11%,3.80%,3.94%,4.24%,3.89%,3.19%,3.44%,3.14%
Tennessee,4.34%,3.65%,4.46%,4.59%,4.21%,4.66%,4.25%,3.95%,4.30%,4.72%,4.65%,4.74%,3.80%,3.25%,3.89%
Texas,3.33%,3.75%,3.25%,4.05%,3.49%,4.16%,3.68%,3.34%,3.74%,3.78%,3.71%,3.79%,3.33%,3.08%,3.37%
Total U.S.,,,,4.14%,4.17%,4.14%,3.97%,3.95%,3.98%,4.15%,4.52%,4.09%,3.70%,3.55%,3.72%
Utah,5.00%,4.88%,5.02%,5.44%,5.77%,5.36%,5.14%,4.85%,5.21%,4.85%,6.04%,4.58%,4.64%,3.78%,4.86%
Vermont,4.81%,3.91%,4.97%,5.48%,5.00%,5.56%,4.74%,4.14%,4.85%,5.50%,5.15%,5.56%,3.78%,3.97%,3.75%
Virginia,4.03%,4.25%,3.99%,3.90%,3.88%,3.90%,3.87%,4.27%,3.80%,3.84%,4.39%,3.75%,3.34%,3.55%,3.30%
Washington,5.17%,3.85%,5.39%,4.86%,4.61%,4.90%,5.14%,4.36%,5.27%,4.37%,5.10%,4.25%,3.78%,3.55%,3.82%
West,3.99%,3.95%,4.00%,4.16%,4.25%,4.15%,4.07%,3.99%,4.08%,4.02%,4.56%,3.93%,3.63%,3.66%,3.62%
West Virginia,5.27%,3.68%,5.51%,5.21%,4.80%,5.27%,5.48%,4.41%,5.64%,5.46%,4.83%,5.56%,4.87%,3.66%,5.04%
Wisconsin,4.01%,3.91%,4.02%,4.23%,4.61%,4.16%,3.99%,4.16%,3.96%,4.18%,4.70%,4.09%,4.12%,4.16%,4.11%
Wyoming,4.27%,3.75%,4.37%,4.29%,4.86%,4.19%,4.23%,4.29%,4.22%,4.35%,5.01%,4.24%,4.20%,3.49%,4.32%
