"Table 23. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2006 and 2007 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section A.11 in Appendix A of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent major depressive episode modules. Therefore, data from youths aged 12 to 17 were not combined with data from persons aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
NOTE: The 2006-2007 estimates may differ from estimates published prior to 2012 due to updates (see Section 1.5 of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs). ,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2006 and 2007 (Revised March 2012).",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
14,District of Columbia,7.49%,6.13%,9.12%,7.53%,6.12%,9.23%,8.38%,6.77%,10.32%,7.30%,5.78%,9.18%
15,Florida,6.23%,5.47%,7.08%,7.57%,6.66%,8.59%,7.25%,6.37%,8.25%,6.07%,5.24%,7.03%
16,Georgia,6.80%,5.51%,8.36%,8.52%,7.07%,10.23%,7.40%,5.91%,9.23%,6.69%,5.28%,8.45%
17,Hawaii,5.12%,3.99%,6.55%,8.37%,6.77%,10.31%,6.96%,5.53%,8.71%,4.84%,3.62%,6.44%
18,Idaho,7.33%,6.06%,8.84%,8.91%,7.36%,10.75%,8.35%,6.82%,10.20%,7.14%,5.74%,8.86%
19,Illinois,5.98%,5.23%,6.83%,7.33%,6.44%,8.34%,8.03%,7.04%,9.16%,5.61%,4.78%,6.58%
20,Indiana,7.56%,6.28%,9.08%,8.45%,7.10%,10.03%,9.84%,8.20%,11.77%,7.17%,5.77%,8.86%
21,Iowa,6.88%,5.70%,8.27%,7.92%,6.58%,9.51%,8.92%,7.33%,10.82%,6.51%,5.23%,8.07%
22,Kansas,6.76%,5.55%,8.20%,9.18%,7.64%,11.00%,8.65%,6.96%,10.70%,6.40%,5.09%,8.02%
23,Kentucky,8.25%,6.79%,9.98%,9.82%,8.29%,11.58%,8.98%,7.37%,10.91%,8.13%,6.52%,10.10%
24,Louisiana,7.12%,5.83%,8.66%,8.43%,6.94%,10.20%,8.22%,6.71%,10.02%,6.90%,5.46%,8.69%
25,Maine,8.20%,6.72%,9.98%,8.80%,7.29%,10.60%,9.91%,8.15%,11.99%,7.96%,6.36%,9.92%
26,Maryland,5.89%,4.79%,7.23%,7.73%,6.34%,9.39%,7.69%,6.20%,9.50%,5.59%,4.41%,7.07%
27,Massachusetts,7.04%,5.76%,8.57%,8.03%,6.68%,9.62%,8.20%,6.67%,10.04%,6.84%,5.44%,8.57%
28,Michigan,7.23%,6.43%,8.12%,8.15%,7.23%,9.18%,9.20%,8.20%,10.30%,6.89%,6.00%,7.90%
29,Minnesota,6.30%,5.16%,7.67%,8.88%,7.41%,10.62%,7.74%,6.28%,9.51%,6.04%,4.80%,7.58%
30,Mississippi,5.70%,4.60%,7.04%,7.50%,6.13%,9.15%,7.01%,5.64%,8.67%,5.46%,4.24%,6.99%
31,Missouri,7.79%,6.42%,9.42%,9.24%,7.66%,11.11%,8.83%,7.30%,10.65%,7.61%,6.09%,9.46%
32,Montana,7.06%,5.85%,8.51%,8.93%,7.41%,10.72%,8.92%,7.32%,10.84%,6.74%,5.41%,8.38%
33,Nebraska,6.30%,5.11%,7.76%,7.52%,6.17%,9.13%,7.61%,6.14%,9.40%,6.06%,4.73%,7.72%
34,Nevada,7.92%,6.42%,9.74%,8.31%,6.78%,10.16%,9.74%,7.81%,12.07%,7.65%,6.03%,9.65%
35,New Hampshire,8.34%,6.89%,10.06%,9.20%,7.69%,10.96%,9.31%,7.68%,11.25%,8.19%,6.60%,10.12%
36,New Jersey,5.72%,4.60%,7.10%,7.86%,6.54%,9.43%,7.18%,5.78%,8.89%,5.50%,4.28%,7.04%
37,New Mexico,6.77%,5.41%,8.45%,9.02%,7.40%,10.97%,8.19%,6.61%,10.11%,6.50%,5.00%,8.42%
38,New York,6.10%,5.33%,6.97%,7.22%,6.31%,8.24%,7.61%,6.64%,8.72%,5.83%,4.98%,6.82%
39,North Carolina,6.67%,5.42%,8.17%,8.51%,7.11%,10.17%,7.63%,6.23%,9.31%,6.51%,5.15%,8.21%
40,North Dakota,7.45%,6.24%,8.89%,8.53%,7.07%,10.25%,9.54%,7.88%,11.50%,6.98%,5.62%,8.64%
41,Ohio,6.99%,6.22%,7.85%,8.03%,7.14%,9.02%,8.51%,7.57%,9.55%,6.74%,5.88%,7.71%
42,Oklahoma,8.31%,6.81%,10.12%,8.69%,7.13%,10.56%,9.52%,7.76%,11.64%,8.09%,6.42%,10.15%
43,Oregon,6.58%,5.42%,7.97%,7.99%,6.61%,9.64%,8.97%,7.35%,10.92%,6.20%,4.94%,7.76%
44,Pennsylvania,6.59%,5.83%,7.43%,8.02%,7.11%,9.04%,8.69%,7.65%,9.86%,6.24%,5.41%,7.19%
45,Rhode Island,7.30%,6.02%,8.84%,7.38%,6.08%,8.93%,8.44%,6.83%,10.38%,7.09%,5.67%,8.84%
46,South Carolina,6.93%,5.63%,8.51%,8.51%,7.04%,10.25%,8.24%,6.72%,10.08%,6.71%,5.31%,8.46%
47,South Dakota,5.60%,4.47%,6.99%,7.76%,6.36%,9.43%,7.33%,5.85%,9.15%,5.27%,4.05%,6.85%
48,Tennessee,8.66%,7.11%,10.51%,8.49%,7.06%,10.19%,8.82%,7.23%,10.72%,8.64%,6.93%,10.71%
49,Texas,6.29%,5.54%,7.13%,7.87%,6.97%,8.87%,7.33%,6.45%,8.33%,6.08%,5.24%,7.06%
50,Utah,7.07%,5.89%,8.48%,8.39%,6.89%,10.19%,8.41%,6.88%,10.25%,6.72%,5.38%,8.37%
51,Vermont,7.70%,6.37%,9.29%,8.85%,7.32%,10.67%,9.25%,7.60%,11.21%,7.44%,5.98%,9.23%
52,Virginia,7.09%,5.80%,8.65%,9.04%,7.56%,10.79%,8.87%,7.21%,10.87%,6.79%,5.39%,8.53%
53,Washington,6.55%,5.33%,8.02%,7.74%,6.41%,9.32%,7.53%,6.11%,9.24%,6.39%,5.07%,8.03%
54,West Virginia,8.48%,7.01%,10.23%,8.50%,7.05%,10.20%,10.35%,8.53%,12.51%,8.21%,6.61%,10.14%
55,Wisconsin,6.79%,5.56%,8.27%,8.44%,7.06%,10.07%,8.76%,7.17%,10.66%,6.45%,5.11%,8.10%
56,Wyoming,7.82%,6.46%,9.42%,9.82%,8.14%,11.81%,10.06%,8.33%,12.10%,7.41%,5.93%,9.23%
