"Table 26. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2008 and 2009 NSDUHs  ",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
20,Indiana,8.14%,6.74%,9.81%,9.25%,7.71%,11.05%,8.51%,6.91%,10.44%,8.08%,6.53%,9.96%
21,Iowa,5.87%,4.84%,7.12%,8.07%,6.64%,9.77%,7.75%,6.31%,9.50%,5.54%,4.41%,6.94%
22,Kansas,6.61%,5.41%,8.07%,8.58%,7.09%,10.34%,8.38%,6.79%,10.30%,6.29%,4.97%,7.92%
23,Kentucky,7.14%,5.85%,8.67%,8.42%,6.95%,10.17%,7.98%,6.50%,9.75%,7.00%,5.60%,8.73%
24,Louisiana,5.75%,4.68%,7.05%,7.67%,6.28%,9.34%,6.97%,5.64%,8.60%,5.51%,4.33%,7.00%
25,Maine,6.81%,5.58%,8.28%,8.08%,6.67%,9.75%,8.78%,7.18%,10.69%,6.53%,5.20%,8.17%
26,Maryland,6.17%,4.95%,7.68%,7.31%,5.93%,8.99%,8.18%,6.55%,10.18%,5.83%,4.52%,7.51%
27,Massachusetts,6.77%,5.60%,8.17%,8.03%,6.60%,9.74%,8.51%,6.97%,10.36%,6.47%,5.19%,8.03%
28,Michigan,6.65%,5.91%,7.47%,8.21%,7.28%,9.25%,9.15%,8.17%,10.24%,6.23%,5.40%,7.16%
29,Minnesota,7.55%,6.21%,9.15%,8.60%,7.19%,10.26%,8.87%,7.25%,10.82%,7.33%,5.86%,9.13%
30,Mississippi,5.80%,4.72%,7.11%,7.26%,5.91%,8.89%,6.60%,5.28%,8.20%,5.66%,4.47%,7.14%
31,Missouri,7.03%,5.78%,8.52%,8.91%,7.40%,10.68%,9.15%,7.54%,11.06%,6.68%,5.31%,8.36%
32,Montana,6.76%,5.57%,8.17%,9.07%,7.51%,10.91%,8.85%,7.30%,10.68%,6.41%,5.11%,8.00%
33,Nebraska,6.31%,5.22%,7.61%,8.20%,6.73%,9.96%,7.59%,6.16%,9.32%,6.07%,4.87%,7.53%
34,Nevada,6.88%,5.58%,8.45%,7.38%,6.03%,9.00%,8.89%,7.33%,10.74%,6.58%,5.16%,8.36%
35,New Hampshire,7.61%,6.25%,9.24%,8.80%,7.30%,10.58%,8.88%,7.23%,10.85%,7.41%,5.93%,9.23%
36,New Jersey,5.98%,4.85%,7.36%,7.35%,6.02%,8.96%,8.12%,6.68%,9.85%,5.65%,4.42%,7.19%
37,New Mexico,6.47%,5.27%,7.91%,8.95%,7.36%,10.83%,8.56%,6.90%,10.58%,6.08%,4.78%,7.71%
38,New York,6.64%,5.87%,7.51%,8.22%,7.23%,9.34%,7.84%,6.82%,8.99%,6.42%,5.56%,7.41%
39,North Carolina,6.85%,5.63%,8.31%,8.43%,6.96%,10.18%,8.07%,6.60%,9.84%,6.65%,5.31%,8.29%
40,North Dakota,6.26%,5.15%,7.59%,9.03%,7.50%,10.84%,7.21%,5.84%,8.86%,6.05%,4.79%,7.60%
41,Ohio,6.18%,5.46%,6.98%,8.31%,7.39%,9.33%,8.16%,7.25%,9.18%,5.85%,5.04%,6.78%
42,Oklahoma,7.40%,6.02%,9.07%,8.04%,6.50%,9.89%,9.47%,7.66%,11.64%,7.03%,5.53%,8.90%
43,Oregon,7.44%,6.10%,9.03%,10.18%,8.43%,12.24%,9.83%,8.13%,11.84%,7.07%,5.62%,8.86%
44,Pennsylvania,5.92%,5.15%,6.79%,7.54%,6.62%,8.58%,7.64%,6.63%,8.78%,5.64%,4.79%,6.62%
45,Rhode Island,9.34%,7.53%,11.52%,9.35%,7.63%,11.40%,10.87%,8.74%,13.45%,9.05%,7.06%,11.54%
46,South Carolina,7.02%,5.76%,8.53%,8.90%,7.45%,10.60%,8.43%,6.91%,10.25%,6.79%,5.41%,8.49%
47,South Dakota,5.71%,4.63%,7.04%,8.47%,6.88%,10.39%,6.90%,5.55%,8.54%,5.50%,4.31%,7.00%
48,Tennessee,6.83%,5.60%,8.31%,8.53%,7.06%,10.28%,7.19%,5.85%,8.81%,6.78%,5.43%,8.43%
49,Texas,5.97%,5.26%,6.77%,7.49%,6.58%,8.51%,7.25%,6.37%,8.23%,5.73%,4.93%,6.66%
50,Utah,7.51%,6.30%,8.93%,8.43%,7.03%,10.07%,8.37%,6.86%,10.19%,7.29%,5.92%,8.96%
51,Vermont,6.52%,5.36%,7.91%,8.10%,6.71%,9.75%,9.43%,7.82%,11.33%,6.04%,4.78%,7.61%
52,Virginia,6.30%,5.15%,7.69%,8.78%,7.24%,10.62%,8.57%,7.02%,10.43%,5.92%,4.67%,7.48%
53,Washington,7.19%,5.92%,8.70%,9.39%,7.86%,11.18%,9.07%,7.42%,11.03%,6.88%,5.50%,8.58%
54,West Virginia,7.77%,6.35%,9.47%,8.39%,6.96%,10.07%,8.81%,7.17%,10.77%,7.62%,6.07%,9.52%
55,Wisconsin,7.28%,6.04%,8.74%,8.83%,7.26%,10.70%,9.55%,7.94%,11.44%,6.89%,5.54%,8.54%
56,Wyoming,7.37%,6.10%,8.88%,8.50%,7.07%,10.19%,9.50%,7.82%,11.49%,6.99%,5.60%,8.71%
