"Table 26. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode (MDE) is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/population-data-nsduh/reports?tab=33.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent MDE modules. Therefore, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
28,Michigan,7.43%,6.65%,8.31%,10.19%,9.11%,11.38%,10.30%,9.23%,11.49%,6.94%,6.06%,7.93%
29,Minnesota,6.56%,5.32%,8.06%,8.20%,6.63%,10.10%,8.81%,7.19%,10.77%,6.19%,4.84%,7.89%
30,Mississippi,7.32%,5.93%,9.00%,8.98%,7.39%,10.86%,7.64%,6.19%,9.39%,7.26%,5.69%,9.21%
31,Missouri,7.35%,6.03%,8.94%,9.91%,8.25%,11.86%,9.37%,7.72%,11.34%,7.01%,5.56%,8.81%
32,Montana,7.11%,5.87%,8.59%,9.23%,7.67%,11.07%,10.12%,8.39%,12.16%,6.62%,5.27%,8.29%
33,Nebraska,6.57%,5.39%,7.98%,8.80%,7.12%,10.83%,8.53%,7.02%,10.33%,6.22%,4.92%,7.84%
34,Nevada,6.35%,5.19%,7.75%,9.62%,7.99%,11.55%,8.87%,7.22%,10.86%,5.95%,4.70%,7.50%
35,New Hampshire,6.90%,5.67%,8.35%,10.27%,8.60%,12.23%,9.81%,8.16%,11.75%,6.44%,5.11%,8.08%
36,New Jersey,6.12%,4.94%,7.56%,9.06%,7.47%,10.93%,8.56%,7.00%,10.43%,5.75%,4.48%,7.35%
37,New Mexico,7.03%,5.70%,8.63%,10.73%,8.94%,12.83%,9.44%,7.78%,11.42%,6.60%,5.15%,8.43%
38,New York,6.36%,5.58%,7.24%,8.76%,7.71%,9.94%,8.12%,7.11%,9.26%,6.05%,5.18%,7.06%
39,North Carolina,7.21%,5.87%,8.82%,9.64%,7.88%,11.74%,8.41%,6.86%,10.27%,7.01%,5.53%,8.85%
40,North Dakota,5.97%,4.87%,7.29%,7.95%,6.43%,9.80%,8.19%,6.54%,10.21%,5.49%,4.29%,6.99%
41,Ohio,7.50%,6.72%,8.36%,9.81%,8.80%,10.92%,9.41%,8.42%,10.51%,7.18%,6.31%,8.17%
42,Oklahoma,7.68%,6.29%,9.36%,9.23%,7.63%,11.13%,8.93%,7.27%,10.93%,7.46%,5.92%,9.36%
43,Oregon,8.41%,6.91%,10.20%,12.65%,10.44%,15.26%,11.41%,9.39%,13.80%,7.94%,6.30%,9.95%
44,Pennsylvania,6.56%,5.85%,7.36%,9.54%,8.49%,10.70%,9.15%,8.14%,10.26%,6.14%,5.34%,7.04%
45,Rhode Island,8.46%,6.95%,10.26%,11.32%,9.36%,13.64%,9.74%,7.99%,11.82%,8.21%,6.53%,10.28%
46,South Carolina,6.46%,5.26%,7.91%,9.44%,7.89%,11.27%,8.05%,6.57%,9.84%,6.19%,4.86%,7.84%
47,South Dakota,5.63%,4.56%,6.94%,8.61%,6.98%,10.57%,7.99%,6.43%,9.89%,5.22%,4.06%,6.68%
48,Tennessee,7.04%,5.77%,8.56%,9.39%,7.73%,11.36%,8.52%,7.05%,10.27%,6.80%,5.40%,8.52%
49,Texas,6.99%,6.22%,7.85%,10.47%,9.38%,11.66%,8.44%,7.47%,9.51%,6.72%,5.84%,7.72%
50,Utah,9.45%,7.90%,11.27%,11.45%,9.43%,13.85%,12.90%,10.74%,15.42%,8.66%,6.93%,10.79%
51,Vermont,7.61%,6.35%,9.10%,9.50%,7.79%,11.54%,10.72%,8.89%,12.88%,7.07%,5.71%,8.74%
52,Virginia,7.08%,5.78%,8.64%,10.96%,9.06%,13.21%,9.54%,7.77%,11.66%,6.66%,5.24%,8.42%
53,Washington,7.28%,6.04%,8.75%,11.08%,9.28%,13.19%,10.33%,8.61%,12.35%,6.78%,5.42%,8.45%
54,West Virginia,7.48%,6.17%,9.03%,9.34%,7.77%,11.18%,8.91%,7.39%,10.71%,7.26%,5.83%,9.02%
55,Wisconsin,6.89%,5.63%,8.41%,11.40%,9.44%,13.70%,9.12%,7.46%,11.11%,6.52%,5.15%,8.23%
56,Wyoming,7.10%,5.85%,8.58%,10.41%,8.72%,12.38%,9.49%,7.81%,11.48%,6.68%,5.32%,8.36%
