"Table 23. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2005 and 2006 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section A.11 in Appendix A of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent major depressive episode modules. Therefore, data from youths aged 12 to 17 were not combined with data from persons aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
NOTE: The 2005-2006 estimates may differ from estimates published prior to 2012 due to updates (see Section 1.5 of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs). ,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2005 and 2006 (2006 Data - Revised March 2012).",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
25,Maine,7.55%,6.31%,9.01%,8.98%,7.52%,10.69%,9.77%,8.09%,11.77%,7.22%,5.88%,8.84%
26,Maryland,6.01%,4.94%,7.28%,8.34%,6.98%,9.94%,8.20%,6.77%,9.90%,5.64%,4.51%,7.05%
27,Massachusetts,7.33%,6.15%,8.73%,8.18%,6.83%,9.77%,9.69%,8.08%,11.59%,6.94%,5.66%,8.49%
28,Michigan,7.40%,6.63%,8.24%,8.36%,7.48%,9.33%,9.19%,8.21%,10.29%,7.08%,6.23%,8.05%
29,Minnesota,6.33%,5.24%,7.62%,8.42%,7.04%,10.05%,8.25%,6.72%,10.08%,5.98%,4.80%,7.42%
30,Mississippi,6.85%,5.65%,8.27%,7.92%,6.65%,9.40%,8.40%,6.89%,10.21%,6.55%,5.24%,8.17%
31,Missouri,7.67%,6.38%,9.20%,9.27%,7.80%,10.98%,9.58%,7.99%,11.45%,7.34%,5.92%,9.07%
32,Montana,7.22%,5.94%,8.76%,8.97%,7.49%,10.71%,9.39%,7.79%,11.27%,6.84%,5.43%,8.57%
33,Nebraska,6.93%,5.77%,8.32%,8.46%,7.09%,10.08%,8.16%,6.64%,9.99%,6.70%,5.42%,8.26%
34,Nevada,7.91%,6.51%,9.58%,8.31%,6.89%,9.99%,9.94%,8.19%,12.00%,7.59%,6.07%,9.45%
35,New Hampshire,7.40%,6.14%,8.89%,9.29%,7.82%,11.00%,9.28%,7.69%,11.17%,7.10%,5.75%,8.75%
36,New Jersey,6.19%,5.04%,7.57%,8.06%,6.78%,9.57%,7.89%,6.46%,9.60%,5.93%,4.69%,7.46%
37,New Mexico,6.39%,5.20%,7.81%,8.79%,7.33%,10.51%,8.28%,6.72%,10.16%,6.02%,4.73%,7.65%
38,New York,6.31%,5.58%,7.13%,7.92%,7.00%,8.94%,7.94%,6.96%,9.04%,6.03%,5.23%,6.95%
39,North Carolina,6.49%,5.32%,7.90%,8.32%,6.96%,9.91%,7.89%,6.47%,9.59%,6.27%,4.98%,7.86%
40,North Dakota,6.94%,5.84%,8.22%,8.55%,7.15%,10.19%,9.43%,7.86%,11.27%,6.40%,5.19%,7.87%
41,Ohio,7.24%,6.45%,8.12%,8.33%,7.47%,9.27%,9.40%,8.38%,10.53%,6.87%,6.00%,7.86%
42,Oklahoma,7.25%,6.00%,8.72%,9.01%,7.53%,10.74%,9.16%,7.56%,11.06%,6.88%,5.54%,8.53%
43,Oregon,6.96%,5.84%,8.28%,8.24%,6.90%,9.82%,9.72%,8.07%,11.68%,6.51%,5.30%,7.96%
44,Pennsylvania,6.00%,5.28%,6.80%,7.81%,6.94%,8.77%,8.18%,7.22%,9.26%,5.64%,4.84%,6.56%
45,Rhode Island,8.35%,6.95%,10.01%,8.13%,6.73%,9.78%,9.93%,8.23%,11.95%,8.06%,6.52%,9.94%
46,South Carolina,6.99%,5.79%,8.42%,7.93%,6.64%,9.44%,9.01%,7.47%,10.83%,6.65%,5.34%,8.25%
47,South Dakota,5.74%,4.63%,7.09%,7.70%,6.39%,9.24%,7.54%,6.10%,9.28%,5.39%,4.19%,6.92%
48,Tennessee,7.91%,6.54%,9.54%,8.37%,7.03%,9.93%,9.70%,8.00%,11.72%,7.62%,6.12%,9.44%
49,Texas,6.30%,5.57%,7.12%,8.63%,7.70%,9.65%,7.88%,6.95%,8.92%,5.99%,5.17%,6.92%
50,Utah,7.69%,6.45%,9.15%,8.36%,7.03%,9.93%,9.76%,8.11%,11.69%,7.14%,5.75%,8.82%
51,Vermont,7.65%,6.37%,9.16%,8.83%,7.43%,10.45%,10.65%,8.86%,12.76%,7.14%,5.74%,8.84%
52,Virginia,6.56%,5.39%,7.96%,8.82%,7.42%,10.45%,9.22%,7.65%,11.08%,6.12%,4.87%,7.67%
53,Washington,6.29%,5.16%,7.64%,8.92%,7.52%,10.57%,8.85%,7.20%,10.82%,5.85%,4.64%,7.36%
54,West Virginia,7.79%,6.41%,9.43%,8.39%,7.06%,9.94%,9.67%,8.05%,11.58%,7.50%,6.00%,9.34%
55,Wisconsin,7.07%,5.89%,8.46%,8.95%,7.54%,10.60%,9.20%,7.60%,11.08%,6.69%,5.41%,8.25%
56,Wyoming,7.38%,6.14%,8.84%,8.94%,7.56%,10.55%,10.39%,8.70%,12.37%,6.81%,5.46%,8.47%
