"Table 25. Had Serious Thoughts of Suicide in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,
"NOTE: Respondents were asked, ""At any time in the past 12 months, did you seriously think about trying to kill yourself?"" If they answered ""Yes,"" they were categorized as having serious thoughts of suicide in the past year.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
15,Florida,3.44%,2.97%,3.98%,6.98%,6.05%,8.03%,2.92%,2.41%,3.53%
16,Georgia,3.99%,3.30%,4.81%,6.78%,5.52%,8.30%,3.49%,2.74%,4.44%
17,Hawaii,4.11%,3.30%,5.12%,7.41%,5.83%,9.37%,3.60%,2.71%,4.76%
18,Idaho,4.50%,3.69%,5.47%,7.30%,5.87%,9.05%,4.01%,3.14%,5.12%
19,Illinois,3.66%,3.18%,4.20%,7.22%,6.19%,8.40%,3.06%,2.56%,3.66%
20,Indiana,4.13%,3.43%,4.97%,8.24%,6.66%,10.15%,3.40%,2.65%,4.36%
21,Iowa,4.05%,3.34%,4.89%,7.78%,6.26%,9.64%,3.38%,2.64%,4.32%
22,Kansas,3.83%,3.13%,4.68%,6.51%,5.21%,8.12%,3.34%,2.58%,4.30%
23,Kentucky,4.31%,3.53%,5.26%,7.45%,6.00%,9.20%,3.79%,2.94%,4.88%
24,Louisiana,4.21%,3.47%,5.12%,7.04%,5.61%,8.80%,3.71%,2.90%,4.74%
25,Maine,4.29%,3.48%,5.27%,7.66%,6.17%,9.48%,3.82%,2.96%,4.93%
26,Maryland,3.48%,2.85%,4.24%,7.44%,5.96%,9.25%,2.84%,2.18%,3.69%
27,Massachusetts,3.96%,3.24%,4.82%,7.34%,5.85%,9.16%,3.37%,2.60%,4.35%
28,Michigan,4.50%,3.91%,5.17%,8.41%,7.32%,9.66%,3.82%,3.18%,4.59%
29,Minnesota,4.22%,3.45%,5.14%,7.42%,5.96%,9.22%,3.70%,2.87%,4.75%
30,Mississippi,4.03%,3.32%,4.88%,6.64%,5.31%,8.27%,3.55%,2.77%,4.54%
31,Missouri,4.20%,3.45%,5.09%,7.94%,6.34%,9.91%,3.57%,2.77%,4.59%
32,Montana,4.56%,3.75%,5.53%,8.53%,6.94%,10.44%,3.90%,3.03%,5.01%
33,Nebraska,4.05%,3.35%,4.90%,8.31%,6.75%,10.20%,3.30%,2.55%,4.25%
34,Nevada,4.37%,3.56%,5.35%,8.32%,6.67%,10.34%,3.75%,2.90%,4.83%
35,New Hampshire,4.12%,3.42%,4.96%,10.29%,8.40%,12.56%,3.16%,2.43%,4.09%
36,New Jersey,3.60%,3.00%,4.32%,7.98%,6.51%,9.74%,2.94%,2.31%,3.74%
37,New Mexico,3.96%,3.25%,4.81%,6.88%,5.51%,8.57%,3.45%,2.68%,4.43%
38,New York,3.71%,3.24%,4.24%,7.20%,6.15%,8.41%,3.11%,2.62%,3.69%
39,North Carolina,4.46%,3.65%,5.44%,7.17%,5.82%,8.79%,4.01%,3.12%,5.15%
40,North Dakota,3.89%,3.23%,4.66%,7.39%,6.01%,9.07%,3.11%,2.41%,3.99%
41,Ohio,4.39%,3.83%,5.03%,8.33%,7.19%,9.64%,3.75%,3.15%,4.46%
42,Oklahoma,3.90%,3.20%,4.75%,7.19%,5.74%,8.97%,3.32%,2.57%,4.28%
43,Oregon,4.52%,3.76%,5.42%,8.32%,6.75%,10.21%,3.93%,3.10%,4.96%
44,Pennsylvania,4.01%,3.47%,4.64%,8.05%,6.93%,9.34%,3.36%,2.78%,4.05%
45,Rhode Island,4.21%,3.48%,5.08%,7.92%,6.31%,9.91%,3.50%,2.73%,4.48%
46,South Carolina,4.15%,3.42%,5.04%,6.91%,5.51%,8.63%,3.69%,2.89%,4.70%
47,South Dakota,3.91%,3.24%,4.71%,7.46%,6.01%,9.22%,3.29%,2.59%,4.17%
48,Tennessee,4.38%,3.60%,5.32%,7.57%,6.04%,9.45%,3.85%,3.01%,4.92%
49,Texas,3.44%,2.99%,3.96%,6.15%,5.24%,7.21%,2.94%,2.45%,3.52%
50,Utah,4.85%,4.05%,5.80%,9.86%,7.92%,12.22%,3.70%,2.87%,4.75%
51,Vermont,4.67%,3.75%,5.81%,7.33%,5.80%,9.21%,4.21%,3.20%,5.53%
52,Virginia,3.89%,3.24%,4.66%,7.34%,5.96%,9.01%,3.31%,2.61%,4.19%
53,Washington,4.26%,3.53%,5.13%,7.91%,6.39%,9.77%,3.67%,2.88%,4.66%
54,West Virginia,4.18%,3.42%,5.09%,7.44%,5.96%,9.25%,3.68%,2.87%,4.70%
55,Wisconsin,3.88%,3.19%,4.71%,7.56%,6.04%,9.43%,3.27%,2.53%,4.22%
56,Wyoming,3.83%,3.18%,4.60%,7.71%,6.19%,9.57%,3.16%,2.47%,4.03%
